residue,vh_ori,vv_ori,vv_soil,vh_soil,VVresidue,VHresidue,span,RVI_residue,ratio,product,NDVI_residue,SPAN_ori,RVI_ori,Ratio_ori,Product_ori,NDVI_ori,Entropy,Anisotropy,Alpha,g0,g1,g2,g3,DegreeOfPolarization,DegreeOfDepolarization,DegreeOfCircularity,DegreeOfEllipticity,CPR,LPR,RelativePhase,Alphas,ConformityCoefficient,PhasePhi,DpRVI
RC,-26.56850052,-16.94860077,-22.9720993,-33.30210114,-8.851559639,-16.88920021,19.06819916,0.543141007,0.524093986,149.4960022,-0.312254995,31.51409912,0.393617988,0.637919009,450.2990112,-0.221062005,0.546133995,0.748165011,13.32359982,0.0222698,0.0163779,0.00119979,0.00299648,0.749988973,0.250010997,-0.183402002,-0.092663199,0.760896027,0.153937995,-1.175699949,0.693057001,0.136938006,0.069483101,0.304010004
NC,-29.47949982,-16.0170002,-19.83429909,-30.20980072,-17.35829926,-38.85250092,42.55379868,0.0281564,0.446774989,674.4130249,-0.382384986,33.54980087,0.172453001,0.543326974,472.1740112,-0.295902014,0.477407008,0.794656992,10.08720016,0.0300813,0.0264156,0.00162831,0.00167366,0.881753027,0.118247002,-0.063426398,-0.0317511,0.894370973,0.064928599,-0.801209986,0.753660023,0.055927701,0.061989799,0.252537996
RC,-25.84420013,-15.47770023,-19.46629906,-29.82010078,-6.695960045,-14.18780041,15.6885004,0.604882002,0.471951991,95.00090027,-0.358740002,30.12450027,0.336681992,0.598883986,400.0090027,-0.250872999,0.54056102,0.752134979,12.21879959,0.0384381,0.031127,-0.000526766,0.00237545,0.812312007,0.187687993,-0.0760912,-0.038100898,0.883575976,0.105088003,-1.789430022,0.747316003,0.061811,-0.0169378,0.317948014
NC,-23.37870026,-13.36069965,-19.4659996,-29.81979942,-12.31610012,-26.2628994,29.00740051,0.154961005,0.46895501,323.4570007,-0.361512005,26.92709923,0.362269014,0.57148999,312.3540039,-0.272677988,0.520546019,0.766089022,11.71360016,0.041599199,0.030676501,0.00213133,-0.00431688,0.745433986,0.254566014,0.139183,0.069933303,1.231430054,0.151957005,1.110470057,0.85521698,-0.103702001,0.070054501,0.358810008
RC,-26.63069916,-14.21140003,-18.70779991,-29.10339928,-5.544479847,-17.07990074,17.95730019,0.262448013,0.324620008,94.69930267,-0.509867013,30.18540001,0.216738999,0.533648014,378.4599915,-0.304080009,0.367193013,0.859318972,8.742099762,0.039135799,0.0341524,-0.001789,0.00112991,0.874332011,0.125668004,-0.032567199,-0.0162888,0.94471997,0.068068601,-2.536750078,0.769110978,0.0284949,-0.051413801,0.208024994
TC,-26.16740036,-13.05189991,-17.74990082,-28.15099907,-4.537399769,-17.40929985,17.99090004,0.196342006,0.260630995,78.99299622,-0.586507022,29.24180031,0.186130002,0.498784006,341.5339966,-0.334414989,0.380953997,0.851848006,9.966910362,0.0573388,0.049162,-0.00552364,0.00618931,0.869720995,0.130279005,-0.122628003,-0.061587799,0.807951987,0.076804303,-2.311670065,0.723901987,0.106793001,-0.111220002,0.236067995
NC,-27.40309906,-13.92169952,-19.17399979,-29.55349922,-13.99059963,-36.53179932,39.11920166,0.0221576,0.382970005,511.1019897,-0.446162999,30.73670006,0.171737999,0.508035004,381.4979858,-0.326229006,0.448155999,0.812933028,10.24989986,0.0287097,0.0247168,0.0031562,4.90E-05,0.867793977,0.132205993,-0.00148872,-0.000744358,0.997455001,0.075041197,-0.0100821,0.784654021,0.0012862,0.126188993,0.253416002
NC,-29.31369972,-15.36489964,-19.8227005,-30.20089912,-16.88059998,-40.54380035,43.91759872,0.017134801,0.416355014,684.4039917,-0.412075013,33.09640121,0.154890999,0.524154007,450.4020081,-0.312204003,0.465914994,0.801939011,9.890089989,0.0254541,0.018585101,-0.000505216,-0.00225074,0.738813996,0.261186004,0.119134001,0.059877601,1.197180033,0.156082004,1.691069961,0.845171988,-0.088407703,-0.0284534,0.306915998
NC,-27.23550034,-15.02390003,-19.82519913,-30.20289993,-14.69110012,-32.92689896,36.05569839,0.059158102,0.446175009,483.7340088,-0.382959008,31.10449982,0.226751,0.55162698,409.1830139,-0.28896901,0.419737011,0.82989502,9.852020264,0.038388401,0.033332098,-0.00125107,0.000239547,0.866903007,0.133096993,-0.012099,-0.00606103,0.98171699,0.072314903,0.326617002,0.779340982,0.0100799,-0.039938699,0.219292
NC,-24.55310059,-11.80410004,-18.32740021,-28.7465992,-9.87168026,-30.93009949,32.46720123,0.031105099,0.319160998,305.3320007,-0.51611501,27.2432003,0.201694995,0.480758995,289.8269958,-0.350659013,0.336997002,0.875150025,7.151569843,0.047784999,0.040570799,0.00285812,0.00166633,0.852626026,0.147374004,-0.041469999,-0.020755799,0.932281017,0.081490397,-0.492192,0.764648974,0.035734799,0.070270903,0.244479001
