FID,class,residue,VVresidue,VHresidue,span,ratio,product
165,1,RC,-3.756208497,-16.36645532,16.79196123,0.229506538,61.47581852
166,1,RC,-0.014261364,-7.1180929,7.118107187,0.002003537,0.101513717
167,1,RC,1.638517151,-8.188771348,8.351090626,-0.200093162,-13.4174423
168,1,RC,-6.505195016,-2.064643788,6.824977375,3.150759009,13.43091048
169,1,RC,-7.789855157,-5.972416381,9.815885125,1.304305437,46.52425854
170,1,RC,-3.338862448,-8.062130801,8.726164994,0.414141439,26.91834578
171,1,RC,0.373464338,-14.24379452,14.24868969,-0.026219442,-5.319549285
172,1,RC,-2.730414568,-3.514649358,4.450609377,0.776866848,9.59644981
173,1,RC,-2.268224603,-1.087600976,2.515495723,2.085530128,2.466923292
174,1,RC,-19.80710339,-11.74742468,23.0287501,1.686080476,232.6824552
175,1,RC,-8.543435136,-11.4500663,14.28615771,0.74614722,97.82289873
176,2,NC,-38.42011088,-56.71111167,68.50003728,0.677470601,2178.847199
177,2,NC,-20.63701875,-52.08276305,56.02232368,0.396235099,1074.832958
178,2,NC,-23.39960777,-34.72382164,41.87225135,0.673877663,812.5238067
179,2,NC,-41.83129666,-55.09722558,69.17775398,0.759226916,2304.788388
180,2,NC,-44.99464921,-62.67513439,77.15368383,0.717902716,2820.045686
181,2,NC,-18.46525116,-39.37665908,43.49122648,0.468939001,727.0998997
182,2,NC,-17.32293523,-37.6518638,41.44571067,0.460081746,652.2407979
183,2,NC,-14.10567736,-41.04919345,43.40514274,0.343628612,579.0266786
184,2,NC,-13.11185671,-43.57623824,45.50614602,0.300894644,571.3653915
185,2,NC,-40.96039847,-61.53281498,73.91915558,0.665667555,2520.408621
186,2,NC,-13.55340795,-25.01851145,28.45383598,0.541735186,339.086092
187,2,NC,-30.49090956,-43.55505914,53.16708326,0.700054372,1328.033369
188,2,NC,-23.87466783,-53.07562157,58.1981217,0.449823612,1267.162835
189,2,NC,-20.31027181,-54.09904421,57.78593017,0.375427553,1098.766292
190,2,NC,-33.37616076,-38.69474769,51.1004071,0.862550158,1291.482119
191,2,NC,-29.96417908,-70.50807871,76.61097305,0.424975118,2112.716697
192,2,NC,-27.81101411,-60.05907799,66.18568844,0.463060957,1670.303866
193,2,NC,-28.46553777,-39.68809244,48.84087962,0.71723119,1129.742895
194,2,NC,-15.27731855,-55.65534616,57.71407123,0.274498671,850.2644522
195,2,NC,-9.556751116,-21.45130448,23.48382328,0.445509089,205.004778
196,2,NC,-25.17409964,-44.11170187,50.78954159,0.57068983,1110.472378
197,2,NC,-21.28677255,-28.77095042,35.78958331,0.739870329,612.4406777
198,2,NC,-18.71551909,-20.27515075,27.59261482,0.923076693,379.4599709
199,2,NC,-10.341078,-41.17663133,42.45530428,0.251139485,425.8107565
200,2,NC,-27.34411742,-37.37864852,46.31267778,0.731543769,1022.086154
201,2,NC,-23.30139923,-35.92507145,42.82015839,0.648611076,837.1044324
202,2,NC,-18.38324426,-41.4306913,45.32599532,0.443710778,761.6305181
203,2,NC,-24.81074648,-43.0907097,49.72305706,0.575779481,1069.112674
204,2,NC,-19.8408296,-49.61137539,53.43170488,0.399925006,984.3308451
205,2,NC,-21.64027244,-37.09304179,42.9440932,0.583405172,802.70353
206,2,NC,-19.57204612,-35.09443908,40.1831388,0.557696508,686.8699804
207,2,NC,-24.72035103,-54.95997792,60.26354559,0.449788227,1358.629947
208,2,NC,-18.55028811,-34.7982023,39.43384425,0.533081794,645.5166785
209,2,NC,-23.38280907,-45.68000393,51.31684439,0.511882816,1068.12681
210,2,NC,-28.80753681,-33.84324285,44.44366393,0.851204979,974.9404642
211,2,NC,-21.52759905,-37.49236876,43.23326539,0.574186155,807.1206821
212,2,NC,-21.39393628,-33.9765397,40.15103684,0.629667897,726.8919254
213,2,NC,-14.63401612,-28.92481991,32.41603978,0.505932834,423.2862808
214,2,NC,-21.9147043,-36.33736718,42.43416687,0.603090042,796.3226568
215,2,NC,-21.78057258,-47.9422473,52.65788087,0.454308544,1044.209597
216,2,NC,-27.78031776,-48.7945112,56.14846728,0.569332842,1355.527026
217,2,NC,-26.69860302,-43.49276735,51.03367727,0.613863055,1161.19613
218,2,NC,-21.81103461,-33.81220093,40.23662712,0.64506403,737.4790845
219,2,NC,-21.47745665,-40.68323801,46.00442369,0.527919057,873.7724806
220,2,NC,-27.31575472,-36.1577411,45.31592101,0.755460764,987.6759869
221,2,NC,-25.35210933,-40.85006357,48.0776158,0.620613706,1035.635278
222,2,NC,-32.71823744,-31.54044784,45.44538382,1.037342197,1031.947861
223,2,NC,-33.55598725,-46.88246131,57.65387636,0.715747132,1573.187274
224,2,NC,-18.33853458,-40.62838965,44.57541807,0.45137242,745.0651285
225,2,NC,-33.20155932,-27.42030437,43.0606158,1.210838468,910.3968621
226,2,NC,-15.98575728,-45.60307469,48.32375044,0.350541217,728.9996833
227,2,NC,-37.47327635,-39.57031189,54.49822037,0.947004827,1482.829233
228,2,NC,-16.05157351,-30.40554826,34.38241378,0.527915937,488.056893
229,2,NC,-24.25703408,-42.2797842,48.74406481,0.573726535,1025.582166
230,2,NC,-13.88956976,-51.07197869,52.92699836,0.271960674,709.367811
231,2,NC,-13.32731031,-54.30073496,55.91231544,0.245435174,723.6827451
232,2,NC,-23.35739938,-54.294541,59.10554363,0.430197934,1268.179278
233,2,NC,-27.52924939,-50.87938081,57.84955457,0.541068876,1400.671163
234,2,NC,-17.9142054,-33.94533577,38.38234719,0.527736874,608.1037175
235,2,NC,-10.62152888,-27.00819094,29.02170315,0.393270653,286.86828
236,2,NC,-28.25753057,-58.95587262,65.37800051,0.479299675,1665.947373
