system:index,VHresidue,VVresidue,class,product,ratio,span,residue
0000000000000000009e_0,-68.92320396,-39.92391498,2,2751.684135,0.579252163,79.65128393,NC
000000000000000000a3_0,-77.79587671,-28.00762819,2,2178.877989,0.360014301,82.68389002,NC
000000000000000000a8_0,-50.51474953,-28.40853529,2,1435.050044,0.562380999,57.95502391,NC
000000000000000000a9_0,-42.01359679,-34.7697871,2,1460.803816,0.827584158,54.53513006,NC
000000000000000000ac_0,-62.98889606,-36.0393207,2,2270.077026,0.572153553,72.57019818,NC
000000000000000000b8_0,-53.96713695,-24.05945806,2,1298.420068,0.445816833,59.08730315,NC
000000000000000000b9_0,-73.18729769,-41.12728473,2,3009.994831,0.561945666,83.95137933,NC
000000000000000000bc_0,-60.54622358,-48.04154181,2,2908.733932,0.79346884,77.29058759,NC
000000000000000000be_0,-56.46188166,-29.35995281,2,1657.718181,0.519996003,63.63922462,NC
000000000000000000c1_0,-42.05455429,-50.96513545,2,2143.316056,1.211881479,66.07594546,NC
000000000000000000c2_0,-46.39197584,-36.29969029,2,1684.014355,0.782456225,58.90571226,NC
000000000000000000c4_0,-55.28559737,-34.25835766,2,1893.993769,0.619661527,65.03946761,NC
000000000000000000ca_0,-156.1129813,-75.2563333,2,11748.49056,0.482063264,173.305449,NC
000000000000000000d0_0,-48.61812362,-32.74069026,2,1591.790926,0.673425625,58.61462909,NC
000000000000000000d9_0,-12.12026031,-5.129516285,2,62.17107264,0.423218326,13.16102759,NC
