residue,VHresidue,VVresidue,product,ratio,span
NC,-30.03793335,-16.94169807,508.8935852,0.564010084,34.48620987
NC,-34.48886871,-17.45039368,601.8443604,0.505971789,38.65227509
NC,-34.18879318,-11.30323601,386.4440002,0.330612302,36.00884247
NC,-32.48155975,-21.03644562,683.2965698,0.647642732,38.69862747
NC,-32.94159698,-20.1353035,663.2890625,0.611242473,38.60802078
NC,-34.23906326,-21.12732697,723.3798828,0.61705327,40.2327919
NC,-35.58755493,-23.49328232,836.0684814,0.660154462,42.64279938
NC,-34.29657745,-16.55578613,567.8068237,0.48272416,38.08345413
NC,-32.63214874,-15.2903614,498.9573364,0.468567401,36.03681946
NC,-31.03673935,-16.65480042,516.9107056,0.53661567,35.22302628
NC,-34.74854279,-19.05352402,662.0822144,0.548325837,39.62950897
NC,-27.78185844,-13.18464088,366.2938232,0.474577367,30.75168991
NC,-32.84113312,-18.93023682,621.6904297,0.576418519,37.90638351
NC,-32.76301575,-20.49952507,671.6262817,0.625691056,38.64771271
NC,-32.65729141,-19.6676712,642.2928467,0.602244437,38.1223793
NC,-32.67002106,-22.62563133,739.1798706,0.692550242,39.7397728
NC,-35.65065765,-19.04540443,678.9812012,0.53422308,40.41901398
NC,-34.89232635,-16.97458839,592.2828979,0.486484855,38.80220413
NC,-35.79457092,-18.30238342,655.1259766,0.511317313,40.20234299
NC,-34.15242386,-17.17407417,586.5362549,0.502865434,38.22743607
NC,-29.7326088,-21.3704052,635.3978882,0.718753099,36.61587143
NC,-30.25364304,-19.0461216,576.2145386,0.629548013,35.74965286
NC,-30.52462769,-18.41016006,561.9632568,0.603124797,35.64669418
NC,-30.10200691,-16.00200272,481.6923828,0.531592548,34.09098053
NC,-31.91526985,-25.45099449,812.2753296,0.797455072,40.82080078
NC,-28.69041252,-19.23672104,551.9094849,0.670493007,34.54259872
NC,-35.21990204,-29.61652565,1043.091187,0.840903103,46.01716995
NC,-35.5153656,-17.68766785,628.18396,0.498028606,39.67612457
NC,-31.98995781,-20.90854263,668.8634033,0.653597057,38.21680832
NC,-30.87452316,-12.99848747,401.322113,0.421010137,33.49920654
NC,-30.58012581,-22.009552,673.0548706,0.719733834,37.67710876
NC,-29.9522419,-17.1092968,512.461792,0.571219265,34.49441528
NC,-31.367136,-20.17897606,632.956665,0.643315852,37.29729462
NC,-37.09506226,-15.71420479,582.9194336,0.423619866,40.28622437
NC,-35.1548233,-26.4134903,928.5615845,0.751347542,43.9719696
NC,-33.8353653,-6.97800827,236.1034546,0.206234157,34.54742432
NC,-37.1653595,-15.24646759,566.6404419,0.410233289,40.17111969
NC,-34.48093414,-15.13815308,521.9776611,0.439029664,37.65764999
NC,-33.69345474,-18.62465286,627.5288696,0.552767694,38.49839783
NC,-28.41060638,-13.29291534,377.65979,0.467885673,31.36660767
NC,-32.35660934,-13.66970253,442.3052368,0.422470182,35.12564468
NC,-38.18804932,-18.30456543,699.015625,0.479327053,42.3483696
NC,-35.42250824,-17.13698959,607.0351563,0.483788133,39.35010147
NC,-30.03863525,-7.439790726,223.4811554,0.247674063,30.94624519
NC,-34.47296906,-20.40925598,703.567627,0.592036486,40.06149292
NC,-34.30097961,-24.37926674,836.2327271,0.710745513,42.08213425
NC,-33.27573395,-25.50022316,848.5386353,0.766330898,41.92297363
NC,-40.61864471,-20.38636398,828.0664673,0.501896679,45.44752884
NC,-36.39177322,-18.85243607,686.0736084,0.518041134,40.98506546
NC,-32.74621582,-21.0884819,690.5679932,0.64399755,38.94918442
NC,-27.96113968,-19.46956062,544.3911133,0.696307838,34.07182312
NC,-31.70436096,-22.26066971,705.7603149,0.702132761,38.7389183
NC,-32.35005951,-16.72200775,540.9579468,0.516908109,36.41636658
NC,-38.0739975,-20.87279701,794.7108154,0.548216581,43.42007446
