FID,VVresidue,VHresidue,span,ratio,product,rvi,B2,B3,B4,B8,B12,NDRI,NDTI,NDI7,STI
86,-24.03905626,-17.15348956,29.53165132,1.401409093,412.3537006,0.416422176,815.5,1176,1776,2640,2650,-0.197468847,0.09748856,-0.001892084,1.216038465
87,-8.55105422,-21.37113705,23.01838455,0.400121631,182.7457517,0.714223663,389.5,511,838,2087,1496.5,-0.282071292,0.17596671,0.164983213,1.427087307
88,2.797370457,-1.001479781,2.971235976,-2.793237078,-2.801509951,-0.557650749,1271,1692,2362,3248,2670,-0.061302029,0.147459731,0.097203694,1.345931053
89,0.215811286,-11.01300377,11.01511809,-0.019596042,-2.376730506,1.019987722,1102,1588,2378,3388,3050,-0.123802505,0.141087011,0.052500777,1.32852459
90,-2.650325532,-16.96873331,17.17446173,0.156188767,44.97266716,0.864910669,909,1398,2151,3364,2542.5,-0.083319165,0.181254372,0.139178872,1.442761183
91,-67.46385888,-122.9668716,140.2577048,0.548634425,8295.81967,0.645730189,698,1137,1701,2606,3177.5,-0.302655369,0.070364952,-0.098823898,1.1513834
92,3.216958198,-3.662051756,4.874365919,-0.878457874,-11.78066742,8.227600006,1082,1637,2527,3921,2752,-0.041616227,0.173661113,0.175185263,1.420315862
93,-18.98583938,-24.4340538,30.94325584,0.77702372,463.9010209,0.56273869,704,1098,1684,2603.5,2449,-0.185097247,0.142582148,0.030578794,1.332584977
94,-3.639697763,-12.20627253,12.73736586,0.298182574,44.42714284,0.770307675,925,1500,2286,3558,2985,-0.132612407,0.157850191,0.087574504,1.374874353
95,-2.387796033,-7.35919698,7.736882453,0.32446421,17.57226136,0.755022289,916,1410,2156,3341,2632,-0.099415205,0.164577052,0.118700817,1.393996954
96,-31.22886161,-53.15031635,61.64574539,0.587557399,1659.823874,0.629898485,635.5,905,1437,2364.5,2457,-0.261939079,0.128257558,-0.018233646,1.294256687
97,-5.024993526,-5.350734884,7.340362643,0.939122127,26.88740815,0.515697277,922,1395,2124,3399,2721.5,-0.123346828,0.166271016,0.110686645,1.398861051
98,-2.640382248,-10.39005182,10.72029828,0.254125994,27.43370838,0.797368051,848.5,1403,2129,3153,2757.5,-0.128621578,0.139154315,0.066906117,1.323297739
99,-1.688564772,-2.333314059,2.880209278,0.723676594,3.939951921,0.580155235,877,1445,2298,3604,2600,-0.061657779,0.186419487,0.161831111,1.458269358
100,-29.69416409,-37.22853132,47.6204465,0.797618467,1105.470118,0.55629157,708,1102,1720,2644,2587,-0.201300204,0.116914146,0.010896578,1.264785409
101,-34.21087141,-59.10834195,68.29480076,0.578782457,2022.147886,0.633399488,688,1118,1692,2462,2869,-0.258057445,0.113137558,-0.076345898,1.255141139
102,-8.893965082,-13.47547827,16.14593229,0.660011089,119.8504332,0.602405615,840,1315,1988,2970,2805.5,-0.17054379,0.144533589,0.028477406,1.337906241
103,3.45827177,-2.932422808,4.534175466,-1.179322354,-10.14111501,-5.576549579,932,1378,2172,3421,2602,-0.090071216,0.176712543,0.135978743,1.429285169
104,-6.721323864,-25.90027425,26.75818381,0.259507826,174.0841314,0.793960926,510,896,1454,2370,2117.5,-0.186326683,0.158553347,0.056267738,1.37685895
105,-42.73933286,-49.00916717,65.02729458,0.872068132,2094.619109,0.534168593,746,1134,1716,2568,2774,-0.235634744,0.103860445,-0.038562335,1.231795192
106,-7.237459101,-24.15534787,25.21629721,0.299621398,174.8233423,0.769454859,794,1239,1993,3031.5,2729.5,-0.155955419,0.158080503,0.052417085,1.37552464
107,-4.592329713,-12.41540881,13.23751745,0.369889529,57.01565079,0.72998587,1012,1540,2340,3338,2840,-0.096525095,0.161376059,0.080608614,1.384859204
108,-0.562486825,-9.489362072,9.506018302,0.059275515,5.337641139,0.944041456,1025.5,1610,2554,3996,2762.5,-0.039217673,0.200838879,0.182510912,1.502624393
109,-12.75843651,-23.0417393,26.3381748,0.553709785,293.9765679,0.643620842,899,1341,1969,2965,2841.5,-0.181397334,0.121838495,0.021254987,1.277488828
110,-17.09736816,-21.21508455,27.24701471,0.805906199,362.7221112,0.553738616,739.5,1150,1773,2647,2748.5,-0.215747535,0.105087541,-0.018812781,1.23485589
111,-0.471133786,-3.611289802,3.641892513,0.130461362,1.701400637,0.884594586,956.5,1512,2310,3723,2564.5,-0.052210648,0.19024232,0.184254304,1.469876766
112,-11.60660174,-13.31849015,17.66622155,0.87146528,154.5824109,0.534340664,640,1038,1664,2734,2350,-0.17090185,0.149936691,0.07553108,1.352765918
113,-28.20651312,-66.65913007,72.38126142,0.423145533,1880.221627,0.702668825,543,897,1388,2327,2516.5,-0.28784138,0.129615098,-0.038925659,1.29783392
114,1.466319164,-20.10461752,20.15801919,-0.072934447,-29.47978596,1.078672373,794,1232,2024,3227,2738,-0.149937004,0.170680001,0.081978209,1.411614299
115,-25.07882247,-38.6964312,46.11248339,0.648091353,970.4609283,0.606762482,549,888,1440,2332,2346,-0.239302695,0.150769234,-0.002992732,1.355072498
116,-18.75001654,-43.79880085,47.64344736,0.42809429,821.2282405,0.700233876,794.5,1235,1818,2820,2836,-0.218736663,0.142749041,-0.002833044,1.333039165
117,-0.340645559,1.887457265,1.917950553,-0.180478554,-0.642953934,1.220224322,877,1340,2014,3144,2505,-0.108652353,0.17760998,0.113117367,1.431936145
118,-10.91039366,-14.85004957,18.42717184,0.734704191,162.0198867,0.576467161,784,1188,1834,2842,2643,-0.18070136,0.154239997,0.036280766,1.364737034
119,-61.07037442,-104.6909979,121.2014673,0.58333931,6393.518438,0.631576563,588,982,1390,2165,2729,-0.325078905,0.120670214,-0.115243152,1.274459481
120,-20.77870373,-56.7203271,60.40653967,0.366336106,1178.574872,0.731884341,785,1212,1746,2700,2775,-0.227604508,0.110434361,-0.01369863,1.248288274
121,-16.31678392,-19.17671281,25.17903397,0.850864488,312.9022792,0.540288069,679.5,1155,1807,2875.5,2594.5,-0.17891632,0.149134696,0.05137074,1.350548983
122,-2.790443822,-10.92207365,11.27289979,0.255486633,30.47743295,0.7965039,1016,1476,2244,3643,2737,-0.098976113,0.168843001,0.142006263,1.406284213
123,-4.264524104,-8.831188491,9.806939175,0.482893566,37.66081618,0.674357232,982,1426,2235,3367.5,2698.5,-0.09376581,0.173561305,0.110211641,1.420022249
124,-3.964883134,-24.68094976,24.99739145,0.160645485,97.85708143,0.861589532,846,1296,2038,3160,2671,-0.13442345,0.171140417,0.083862118,1.412953973
125,2.437104286,-2.990160914,3.857530246,-0.815041182,-7.287333981,5.406608947,1009,1570,2420,3653,2771,-0.067617029,0.164354637,0.13729763,1.39335978
126,-5.316285193,-17.05329416,17.86274699,0.311745352,90.66017526,0.762343086,888,1348,2109,3146,2623,-0.108810499,0.169147849,0.090655975,1.407167315
127,-8.944988533,-4.970047465,10.23299524,1.799779297,44.45701759,0.35717101,724,1066,1732,2584,2353,-0.15201959,0.151613489,0.046789549,1.357416034
128,-12.71304932,-22.20430435,25.58618289,0.572548868,282.2844164,0.635910286,1123,1617,2491,3733,3352.5,-0.147426248,0.133023545,0.053704161,1.306867719
129,-30.00556428,-44.8965412,54.00030832,0.668326857,1347.146053,0.599402926,679,1040,1615,2632.5,2674.5,-0.247000128,0.11572139,-0.007913447,1.261730671
130,-1.195800127,-12.65843923,12.71479538,0.094466633,15.13696324,0.91368706,1012,1508,2214,3220,2878,-0.130400628,0.147890449,0.056083962,1.347115993
131,-30.97944712,-46.73006451,56.0662561,0.662944668,1447.671562,0.601342918,923.5,1379,1916,2848,3042.5,-0.227187932,0.093482472,-0.033020779,1.206245303
132,-8.608883338,-21.10802594,22.79608807,0.407848814,181.7165328,0.710303543,811,1202,1765,2834,2532.5,-0.178595036,0.135739684,0.056179509,1.314117789
133,-12.37917219,-15.35292923,19.72197607,0.806306862,190.0565545,0.55361579,797.5,1289,1986,3011.5,2858.5,-0.180100501,0.141526014,0.026065016,1.329716206
134,0.328939936,-3.180340417,3.197306155,-0.103429159,-1.046140973,1.115360833,971.5,1477,2311,3362,2619,-0.062478192,0.14613913,0.124217093,1.342305183
135,-8.49206146,-23.38389795,24.87813882,0.363158507,198.5774986,0.733590404,720,1186,1898,3054,2716,-0.177286521,0.153498515,0.058578856,1.362665653
136,-5.41637745,-20.35947535,21.06763825,0.266037182,110.2746032,0.789866217,965,1426,2208,3366,2897,-0.134965718,0.141629636,0.074884243,1.329996586
137,-30.16170289,-64.67433441,71.36173942,0.466362788,1950.688059,0.681959477,789,1231,1801,2649.5,3031.5,-0.254627675,0.097835109,-0.067241721,1.21688962
138,-8.530309789,-13.57185723,16.03001852,0.62852929,115.7721465,0.614050976,1038,1598,2437,3649,2986.5,-0.101319253,0.153426453,0.09984161,1.362464547
139,-93.83769082,-140.4275012,168.8946278,0.66822873,13177.39244,0.599438184,683,1072,1610,2590,3184,-0.32832709,0.086370155,-0.102874957,1.189070344
140,-10.06337183,-35.29812807,36.70462229,0.285096473,355.2181877,0.778151696,909.5,1357,1895,2904,2765.5,-0.186797187,0.103247292,0.024156306,1.230269432
141,-3.915939742,4.409259339,5.897130826,-0.888117355,-17.26639388,8.937936718,1003.5,1538,2401,3907,2695.5,-0.057181634,0.190296963,0.18348597,1.47004199
142,-7.470485424,-7.673037046,10.70904524,0.973602158,57.32131141,0.506687731,837,1310,2050,3131.5,2722.5,-0.140910521,0.171484768,0.069858789,1.413956881
143,-40.58125869,-74.45588077,84.79691467,0.545037656,3021.513358,0.647233416,565,1020,1552,2478,2772,-0.282146156,0.126791626,-0.056000002,1.290404081
144,-3.076644628,-16.40550472,16.69150464,0.187537335,50.47390796,0.842078788,805,1268,2054,3153,2699,-0.135703772,0.169793904,0.077580318,1.409040332
145,-63.94649159,-94.24698541,113.8931431,0.678499066,6026.76406,0.595770364,506,904,1440,2402,2825,-0.324736238,0.116635397,-0.080925964,1.264070749
146,-37.81185897,-57.14719329,68.52399857,0.661657324,2160.841613,0.6018088,676.5,1060,1600,2521,2717,-0.259002954,0.13339743,-0.037424553,1.307863235
