FID,class,residue,VVresidue,VHresidue,span,ratio,product,rvi,B2,B3,B4,B8,B12,NDTI,NDRI,NDI7,STI
118,1,RC,-2.457294459,-17.91044654,18.07822976,0.13719895,44.01124105,0.879353608,913,1477,2278,3496,2817,0.172079355,-0.105790108,0.107555866,1.41569078
119,1,RC,-7.00293549,-14.43763906,16.04638673,0.485047137,101.105855,0.673379299,1080,1668,2522,3720,3017,0.15988031,-0.089448102,0.104267418,1.380613208
120,1,RC,-17.40379366,-39.74639132,43.38971833,0.437871039,691.7379931,0.695472663,882,1361,2118,3026,3185.5,0.089009978,-0.201281592,-0.025677785,1.195414662
121,1,RC,-10.46536618,-20.17346549,22.72647353,0.518768884,211.1227034,0.658428027,895,1399,2206,3333,2879,0.157386407,-0.132350743,0.073083751,1.373567224
122,1,RC,-3.545909625,-21.6026734,21.89175583,0.164142167,76.60112754,0.859001614,850,1320,2008,3105,2816.5,0.17027545,-0.167582124,0.048720744,1.410438538
123,1,RC,-4.148116339,-9.851251642,10.68896759,0.421075056,40.8641379,0.703692599,976.5,1522,2337,3579,2869,0.156124279,-0.102618501,0.109679148,1.370017409
124,1,RC,-12.82969051,-19.66642874,23.48125589,0.652365037,252.3141943,0.605193149,802,1360,2092,3230,2900,0.139082685,-0.161858976,0.053833604,1.323103428
125,1,RC,-22.23965887,-31.22532273,38.33566494,0.712231514,694.4405257,0.584033171,696,1091,1676,2530,2619.5,0.136263013,-0.219650358,-0.017379208,1.315520048
126,1,RC,-4.098491642,-28.95412238,29.24275699,0.14155123,118.6682286,0.876000983,968,1430,2082,3122,3070,0.111046761,-0.191770181,0.008397933,1.24983716
127,1,RC,-18.05761206,-31.91371657,36.66827864,0.565826046,576.2855132,0.638640545,680,1080,1672,2591,2573,0.137734577,-0.212249711,0.00348567,1.319471478
128,1,RC,-9.222541409,-23.34131167,25.09725284,0.395116673,215.2662134,0.716785929,894.5,1480,2292,3566,2822.5,0.174887255,-0.103725083,0.116372488,1.423911929
129,1,RC,-18.32076927,-21.13378626,27.96940308,0.866894793,387.187222,0.535648824,908,1302,1954,3000,2794,0.138186306,-0.176916599,0.035554022,1.320687175
130,1,RC,-9.21334084,-37.0203152,38.14956601,0.248872566,341.080782,0.800722209,882.5,1320,2072,3118,2992,0.116618581,-0.181906968,0.02028871,1.264027715
131,1,RC,-15.80142212,-26.30020588,30.68201053,0.600809826,415.5806549,0.624683822,879.5,1281,1972,2936,2966,0.121305205,-0.201743826,-0.005284055,1.276113272
132,1,RC,-3.124284974,-19.28323984,19.53469977,0.16202075,60.24633648,0.860569831,677,1100,1830,2776,2305,0.157990873,-0.114873037,0.092698291,1.375271201
133,1,RC,-16.05192276,-25.78899376,30.37657689,0.622433078,413.962936,0.616358242,762,1158,1742,2645,2615,0.138527423,-0.200367227,0.005703422,1.321606159
134,1,RC,-6.937386841,-19.46725601,20.66643154,0.356361823,135.0518857,0.737266401,962.5,1487,2293,3465,3090.5,0.134799048,-0.148138061,0.057118602,1.311602116
135,1,RC,-10.5944644,-21.72147122,24.16743652,0.487741567,230.1273536,0.67215975,591,1042,1820,2954,2588,0.168380469,-0.174228668,0.066041142,1.40494585
136,1,RC,-3.800671542,-23.59080208,23.89500046,0.161108195,89.6608901,0.861246182,866,1302,1994,2986,2593,0.137965426,-0.130586445,0.070442729,1.320092559
137,1,RC,-2.035628053,-3.270363755,3.852150135,0.622446983,6.657244204,0.61635296,926,1428,2166,3119,2728,0.14710021,-0.114834495,0.066871904,1.344941378
138,1,RC,-22.50731513,-26.85213417,35.03735641,0.838194647,604.3694458,0.544012029,796,1284,1928,2895,2892,0.136716411,-0.200000003,5.18E-04,1.316735864
